"[{'inputs': ['""cccbbbaa""'], 'output': '""cba""'}, {'inputs': ['""aaabbab""'], 'output': '""abab""'}]"	['[a1] -> [a1]', 'a1 -> a1', '[Char] -> [Char]', '(Ord a1) => [a1] -> [a1]', '(Eq a1) => [a1] -> [a1]', '(Ord a1) => a1 -> a1', '(Eq a1) => a1 -> a1', '[a1] -> [Char]', '(Ord a1) => [a1] -> [Char]', '(Eq a1) => [a1] -> [Char]']
[{'inputs': ['[0]'], 'output': '[]'}]	['[a1] -> [a1]', '(Eq a1) => [a1] -> [a1]', '(Num a1) => [a1] -> [a1]', '(Ord a1) => [a1] -> [a1]', '(Eq a1, Num a1) => [a1] -> [a1]', '(Num a1, Ord a1) => [a1] -> [a1]']
"[{'inputs': ['""aaabbab""'], 'output': '""abab""'}, {'inputs': ['[0]'], 'output': '[]'}]"	['[t0] -> [Char]', '[t0] -> [t0]', '[t0] -> t0', '(Eq t0) => [t0] -> [Char]', '(Eq t0) => [t0] -> [t0]', '(Eq t0) => [t0] -> t0', '(Ord t0) => [t0] -> [Char]', '(Ord t0) => [t0] -> [t0]', '(Ord t0) => [t0] -> t0']
[{'inputs': ['[]'], 'output': '[]'}, {'inputs': ['[0]'], 'output': '[0]'}, {'inputs': ['[1]'], 'output': '[1]'}]	['[a1] -> [a1]', '[Int] -> [Int]', '(Num a1) => [a1] -> [a1]', '(Ord a1) => [a1] -> [a1]', '(Eq a1) => [a1] -> [a1]', '[a1] -> [Int]', '(Num a1, Ord a1) => [a1] -> [a1]', '(Eq a1, Num a1) => [a1] -> [a1]', '(Num a1) => [a1] -> [Int]', '(Ord a1) => [a1] -> [Int]']
[{'inputs': ['[]'], 'output': '[]'}, {'inputs': ['[0]'], 'output': '[0]'}, {'inputs': ['[1]'], 'output': '[1]'}, {'inputs': ['[-1]'], 'output': '[-1]'}, {'inputs': ['[2]'], 'output': '[2]'}]	['[a1] -> [a1]', '[Int] -> [Int]', '(Num a1) => [a1] -> [a1]', '(Ord a1) => [a1] -> [a1]', '(Eq a1) => [a1] -> [a1]', '[a1] -> [Int]', '(Num a1, Ord a1) => [a1] -> [a1]', '(Eq a1, Num a1) => [a1] -> [a1]', '(Num a1) => [a1] -> [Int]', '(Ord a1) => [a1] -> [Int]']
[{'inputs': ['[(\\x -> x + 2), (\\x -> x * 2)]', '5'], 'output': '[7, 10]'}, {'inputs': ['[]', '0'], 'output': '[]'}]	['[a1 -> a1] -> a1 -> [a1]', '[Int -> Int] -> Int -> [Int]', '(Num a1) => [a1 -> a1] -> a1 -> [a1]', '(Ord a1) => [a1 -> a1] -> a1 -> [a1]', '(Eq a1) => [a1 -> a1] -> a1 -> [a1]', '[a1 -> a1] -> a2 -> [a2]', '[a1 -> a2] -> a1 -> [a1]', '[a1 -> a2] -> a1 -> [a2]', '[a1 -> a2] -> a2 -> [a2]', '[Int -> Int] -> a1 -> [a1]']
"[{'inputs': ['2', '""1""'], 'output': '""11""'}]"	['Int -> [a1] -> [a1]', 'Int -> a1 -> a1', 'Int -> [Char] -> [Char]', '(Eq a1) => a1 -> [b1] -> [b1]', '(Eq a1) => a1 -> b1 -> b1', '(Ord a1) => a1 -> [b1] -> [b1]', '(Ord a1) => a1 -> b1 -> b1', '(Ord a1) => Int -> [a1] -> [a1]', '(Eq a1) => Int -> [a1] -> [a1]', '(Ord a1) => Int -> a1 -> a1']
"[{'inputs': ['4', '""abc""'], 'output': '""abcabcabcabc""'}]"	['Int -> [a1] -> [a1]', 'Int -> a1 -> a1', 'Int -> [Char] -> [Char]', '(Eq a1) => a1 -> [b1] -> [b1]', '(Eq a1) => a1 -> b1 -> b1', '(Ord a1) => a1 -> [b1] -> [b1]', '(Ord a1) => a1 -> b1 -> b1', '(Ord a1) => Int -> [a1] -> [a1]', '(Eq a1) => Int -> [a1] -> [a1]', '(Ord a1) => Int -> a1 -> a1']
[{'inputs': ['[]'], 'output': '[]'}]	Cannot find type for your query
"[{'inputs': ['1', '""abc""'], 'output': '""abc""'}, {'inputs': ['4', '""A""'], 'output': '""""'}]"	['Int -> [a1] -> [a1]', 'Int -> a1 -> a1', 'Int -> [Char] -> [Char]', '(Eq a1) => a1 -> [b1] -> [b1]', '(Eq a1) => a1 -> b1 -> b1', '(Ord a1) => a1 -> [b1] -> [b1]', '(Ord a1) => a1 -> b1 -> b1', '(Ord a1) => Int -> [a1] -> [a1]', '(Eq a1) => Int -> [a1] -> [a1]', '(Ord a1) => Int -> a1 -> a1']
"[{'inputs': ['1', '""abc""'], 'output': '""abc""'}]"	['Int -> [a1] -> [a1]', 'Int -> a1 -> a1', 'Int -> [Char] -> [Char]', '(Eq a1) => a1 -> [b1] -> [b1]', '(Eq a1) => a1 -> b1 -> b1', '(Ord a1) => a1 -> [b1] -> [b1]', '(Ord a1) => a1 -> b1 -> b1', '(Ord a1) => Int -> [a1] -> [a1]', '(Eq a1) => Int -> [a1] -> [a1]', '(Ord a1) => Int -> a1 -> a1']
[{'inputs': ['1', '2', '3'], 'output': '5'}]	['a1 -> a1 -> a1 -> a1', 'Int -> Int -> Int -> Int', '(Num a1) => a1 -> a1 -> a1 -> a1', '(Ord a1) => a1 -> a1 -> a1 -> a1', '(Eq a1) => a1 -> a1 -> a1 -> a1', 'Int -> Int -> a1 -> a1', 'Int -> a1 -> a1 -> a1', '(Num a1, Ord a1) => a1 -> a1 -> a1 -> a1', '(Eq a1, Num a1) => a1 -> a1 -> a1 -> a1', '(Ord a2) => a1 -> a1 -> a2 -> a1']
